Category-en,Categories-hn,Sub category-en,Sub-Categories in Hindi-hn
Report a patient (shared with officers only),कोरोना संदिग्ध के बारे में रिपोर्ट करना है ,NA,NA
Breaking Lockdown Report,लाक्डाउन तोड़ने वालों को रिपोर्ट करना है ,NA,NA
Medical related,चिकित्सा संबंधी ,Need medicine,दवाई चाहिए 
Medical related,चिकित्सा संबंधी ,Need medical advice,मेडिकल सलाह चाहिए 
Medical related,चिकित्सा संबंधी ,Need help for elderly and infants,बुज़ुर्ग या नवजात को मदद चाहिए 
Medical related,चिकित्सा संबंधी ,Need psychiatrist help ,मनोवेज्ञानिक की सहायता चाहिए 
Medical related,चिकित्सा संबंधी ,Need information,कोई अन्य सहायता चाहिए 
Grocery related,किराना सामग्री संबंधी ,Need other item,कोई अन्य सामग्री चाहिए 
Grocery related,किराना सामग्री संबंधी ,Need home items,घरेलू सामग्री चाहिए 
Grocery related,किराना सामग्री संबंधी ,Need kitchen items,रसोई का सामान चाहिए 
Grocery related,किराना सामग्री संबंधी ,Need shop open information ,नज़दीकी कार्यरत दुकान की जानकारी 
Food related,खान-पान संबंधी ,Need dairy items,दूध चाहिए 
Food related,खान-पान संबंधी ,Need food for others,किसी जरूरतमंद के लिए खाना 
Food related,खान-पान संबंधी ,Need food items,कोई अन्य खाने के सामग्री चाहिए 
Food related,खान-पान संबंधी ,Fruit-Vegetable Needed,फल-सब्ज़ी चाहिए 
Home Requirements,घरेलू समस्या ,Cooking Gas needed,गैस की टंकी नहीं आ रही 
Home Requirements,घरेलू समस्या ,Repair of Home appliances,घरेलू उपकरण ठीक करवाना है 
Home Requirements,घरेलू समस्या ,Water Related Issue,पानी संबंधी 
Home Requirements,घरेलू समस्या ,Electricty related issue,बिजली संबंधी  
Hygiene Related,स्वच्छता संबंधी ,No garbaage collection,कचरा उठाने की व्यवस्था चाहिए 
Hygiene Related,स्वच्छता संबंधी ,Water Logging,पानी जमा हो रहा है 
Hygiene Related,स्वच्छता संबंधी ,Sanitisation required,सेनिटाईसेशन करवाना है 
Hygiene Related,स्वच्छता संबंधी ,Any other issue,कोई अन्य समस्या 
Any other info required,कोई अन्य जानकारी चाहिए ,NA,NA
Want to give Feedback/Suggestion,कोई सुझाव देना है ,NA,NA
